dam_number,grid_lat,grid_lon,top_vol_acre_feet,bot_vol_acre_feet,depth_feet,width_feet,length_feet,start_node,end_node
1,          36.3125,-82.0625,           677000,                0,     105.1,      3260,      86063,        18,  19
2,          36.5625,-82.0625,           764000,                0,     100.5,      2646,     125136,        49,  51
3,          36.4375,-82.4375,           193400,                0,      46.8,      1042,     172656,        53,  55
4,          36.1875,-83.4375,          1541000,                0,      52.1,      4516,     285119,        74,  81
